username,password,usertype,name/ngo,phone/manpower
ammarzrin,ammar1234,0,Ammar,019-8927574
lutfizzat,lutfi4321,0,Lutfi,012-3941039
khairulanwar,kh4i,0,Khairul,019-1231441
azrinomar,azr1n,1,YPI,50
audreyhepburn,cantiknya,1,UNICEF,200
donorone,numberone,0,D1,012-3456789
donortwo,numbertwo,0,D2,019-8765432
ngoone,numberone,1,NGO1,100
ngotwo,numbertwo,1,NGO2,50
donorthree,number3,0,D3,015-1231
ngothree,number3ngo,1,NGO3,25
donorfour,number4,0,D4,013-54252525
ngofour,number4ngo,1,NGO4,200
donorfive,number5,0,D5,012-3145143
